species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g
Gentoo,4.529999999999999,1.3699999999999999,21.0,1,4.3
Gentoo,4.96,1.5,21.6,0,4.75
Gentoo,5.05,1.59,22.2,0,5.55
Gentoo,4.36,1.3900000000000001,21.7,1,4.9
Gentoo,4.55,1.3900000000000001,21.0,1,4.2
Gentoo,5.05,1.59,22.5,0,5.4
Gentoo,4.49,1.33,21.3,1,5.1
Gentoo,4.5200000000000005,1.58,21.5,0,5.3
Adelie,3.41,1.81,19.3,1,3.475
Adelie,4.2,2.02,19.0,0,4.25
Adelie,3.78,1.7100000000000002,18.6,1,3.3
Adelie,3.78,1.73,18.0,1,3.7
Adelie,3.75,1.89,17.9,1,2.975
Gentoo,4.45,1.4300000000000002,21.6,1,4.1
Chinstrap,4.65,1.7899999999999998,19.2,1,3.5
Chinstrap,5.0,1.95,19.6,0,3.9
Chinstrap,5.13,1.92,19.3,0,3.65
Chinstrap,4.54,1.8699999999999999,18.8,1,3.525
Chinstrap,5.2700000000000005,1.98,19.7,0,3.725
Chinstrap,4.5200000000000005,1.78,19.8,1,3.95
Chinstrap,4.61,1.8199999999999998,17.8,1,3.25
Chinstrap,5.13,1.8199999999999998,19.7,0,3.75
Chinstrap,4.6,1.89,19.5,1,4.15
Chinstrap,5.13,1.9899999999999998,19.8,0,3.7
Chinstrap,4.66,1.78,19.3,1,3.8
Chinstrap,5.17,2.0300000000000002,19.4,0,3.775
Chinstrap,4.7,1.73,18.5,1,3.7
Chinstrap,5.2,1.81,20.1,0,4.05
Chinstrap,4.59,1.7100000000000002,19.0,1,3.575
Chinstrap,5.05,1.9600000000000002,20.1,0,4.05
Chinstrap,5.029999999999999,2.0,19.7,0,3.3
Chinstrap,5.8,1.78,18.1,1,3.7
Chinstrap,4.64,1.86,19.0,1,3.45
Chinstrap,4.92,1.8199999999999998,19.5,0,4.4
Chinstrap,4.24,1.73,18.1,1,3.6
Chinstrap,4.85,1.75,19.1,0,3.4
Chinstrap,4.32,1.6600000000000001,18.7,1,2.9
Chinstrap,5.0600000000000005,1.94,19.3,0,3.8
Chinstrap,4.67,1.7899999999999998,19.5,1,3.3
Chinstrap,5.2,1.9,19.7,0,4.15
Chinstrap,5.05,1.8399999999999999,20.0,1,3.4
Chinstrap,4.95,1.9,20.0,0,3.8
Chinstrap,4.64,1.78,19.1,1,3.7
Chinstrap,5.279999999999999,2.0,20.5,0,4.55
Chinstrap,4.09,1.6600000000000001,18.7,1,3.2
Chinstrap,5.42,2.08,20.1,0,4.3
Chinstrap,4.25,1.67,18.7,1,3.35
Chinstrap,5.1,1.8800000000000001,20.3,0,4.1
Chinstrap,4.970000000000001,1.86,19.5,0,3.6
Chinstrap,4.75,1.6800000000000002,19.9,1,3.9
Chinstrap,4.76,1.83,19.5,1,3.85
Chinstrap,5.2,2.07,21.0,0,4.8
Chinstrap,4.6899999999999995,1.6600000000000001,19.2,1,2.7
Chinstrap,5.35,1.9899999999999998,20.5,0,4.5
Chinstrap,4.9,1.95,21.0,0,3.95
Chinstrap,4.62,1.75,18.7,1,3.65
Chinstrap,5.09,1.9100000000000001,19.6,0,3.55
Chinstrap,4.55,1.7,19.6,1,3.5
Chinstrap,5.09,1.7899999999999998,19.6,1,3.675
Chinstrap,5.08,1.85,20.1,0,4.45
Chinstrap,5.01,1.7899999999999998,19.0,1,3.4
Chinstrap,4.9,1.9600000000000002,21.2,0,4.3
Chinstrap,5.15,1.8699999999999999,18.7,0,3.25
Chinstrap,4.9799999999999995,1.73,19.8,1,3.675
