species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g
Gentoo,0.46299999999999997,0.158,0.215,0,0.505
Gentoo,0.429,0.131,0.215,1,0.5
Gentoo,0.461,0.151,0.215,0,0.51
Gentoo,0.478,0.15,0.215,0,0.565
Gentoo,0.48200000000000004,0.14300000000000002,0.21,1,0.46
Gentoo,0.5,0.153,0.22,0,0.555
Gentoo,0.473,0.153,0.222,0,0.525
Gentoo,0.428,0.142,0.209,1,0.47
Gentoo,0.451,0.145,0.207,1,0.505
Gentoo,0.596,0.17,0.23,0,0.605
Gentoo,0.491,0.14800000000000002,0.22,1,0.515
Gentoo,0.484,0.163,0.22,0,0.54
Gentoo,0.426,0.13699999999999998,0.213,1,0.495
Gentoo,0.444,0.17300000000000001,0.219,0,0.525
Gentoo,0.44,0.136,0.208,1,0.435
Gentoo,0.48700000000000004,0.157,0.208,0,0.535
Gentoo,0.42700000000000005,0.13699999999999998,0.208,1,0.395
Gentoo,0.496,0.16,0.225,0,0.57
Gentoo,0.45299999999999996,0.13699999999999998,0.21,1,0.43
Gentoo,0.496,0.15,0.216,0,0.475
Gentoo,0.505,0.159,0.222,0,0.555
Gentoo,0.436,0.139,0.217,1,0.49
Gentoo,0.455,0.139,0.21,1,0.42
Gentoo,0.505,0.159,0.225,0,0.54
Gentoo,0.449,0.133,0.213,1,0.51
Gentoo,0.452,0.158,0.215,0,0.53
Adelie,0.341,0.18100000000000002,0.193,1,0.3475
Adelie,0.42,0.20199999999999999,0.19,0,0.425
Adelie,0.37799999999999995,0.171,0.186,1,0.33
Adelie,0.37799999999999995,0.17300000000000001,0.18,1,0.37
Adelie,0.375,0.18899999999999997,0.179,1,0.2975
Gentoo,0.445,0.14300000000000002,0.216,1,0.41
Chinstrap,0.465,0.179,0.192,1,0.35
Chinstrap,0.5,0.195,0.196,0,0.39
Chinstrap,0.513,0.192,0.193,0,0.365
Chinstrap,0.45399999999999996,0.187,0.188,1,0.3525
Chinstrap,0.527,0.198,0.197,0,0.3725
Chinstrap,0.452,0.17800000000000002,0.198,1,0.395
Chinstrap,0.461,0.182,0.178,1,0.325
Chinstrap,0.513,0.182,0.197,0,0.375
Chinstrap,0.46,0.18899999999999997,0.195,1,0.415
Chinstrap,0.513,0.19899999999999998,0.198,0,0.37
Chinstrap,0.466,0.17800000000000002,0.193,1,0.38
Chinstrap,0.517,0.203,0.194,0,0.3775
Chinstrap,0.47,0.17300000000000001,0.185,1,0.37
Chinstrap,0.52,0.18100000000000002,0.201,0,0.405
Chinstrap,0.45899999999999996,0.171,0.19,1,0.3575
Chinstrap,0.505,0.196,0.201,0,0.405
Chinstrap,0.503,0.2,0.197,0,0.33
Chinstrap,0.58,0.17800000000000002,0.181,1,0.37
Chinstrap,0.46399999999999997,0.18600000000000003,0.19,1,0.345
Chinstrap,0.49200000000000005,0.182,0.195,0,0.44
Chinstrap,0.424,0.17300000000000001,0.181,1,0.36
Chinstrap,0.485,0.175,0.191,0,0.34
Chinstrap,0.43200000000000005,0.166,0.187,1,0.29
Chinstrap,0.506,0.19399999999999998,0.193,0,0.38
Chinstrap,0.467,0.179,0.195,1,0.33
Chinstrap,0.52,0.19,0.197,0,0.415
Chinstrap,0.505,0.184,0.2,1,0.34
Chinstrap,0.495,0.19,0.2,0,0.38
Chinstrap,0.46399999999999997,0.17800000000000002,0.191,1,0.37
Chinstrap,0.528,0.2,0.205,0,0.455
Chinstrap,0.409,0.166,0.187,1,0.32
Chinstrap,0.542,0.20800000000000002,0.201,0,0.43
Chinstrap,0.425,0.16699999999999998,0.187,1,0.335
Chinstrap,0.51,0.188,0.203,0,0.41
Chinstrap,0.49700000000000005,0.18600000000000003,0.195,0,0.36
Chinstrap,0.475,0.168,0.199,1,0.39
Chinstrap,0.47600000000000003,0.183,0.195,1,0.385
Chinstrap,0.52,0.207,0.21,0,0.48
Chinstrap,0.469,0.166,0.192,1,0.27
Chinstrap,0.535,0.19899999999999998,0.205,0,0.45
Chinstrap,0.49,0.195,0.21,0,0.395
Chinstrap,0.462,0.175,0.187,1,0.365
Chinstrap,0.509,0.191,0.196,0,0.355
Chinstrap,0.455,0.17,0.196,1,0.35
Chinstrap,0.509,0.179,0.196,1,0.3675
Chinstrap,0.508,0.185,0.201,0,0.445
Chinstrap,0.501,0.179,0.19,1,0.34
Chinstrap,0.49,0.196,0.212,0,0.43
Chinstrap,0.515,0.187,0.187,0,0.325
Chinstrap,0.498,0.17300000000000001,0.198,1,0.3675
